arquivo   | ótimo  | obtido  |   gap    | tempo(s)  |
__________|________|_________|__________|___________|
att48     | 10628  |  10940  |  5.49%   |   0.527   |
berlin52  | 7542   |  8235   |  15.88%  |   0.697   |
kroA100   | 21282  |  24022  |  14.47%  |   8.275   |
kroA150   | 26524  |  30988  |  11.52%  |   50.335  |
kroA200   | 29368  |  34392  |  17.9%   |   177.243 |
kroB100   | 22141  |  24663  |  12.0%   |   8.306   |
kroB150   | 26130  |  29654  |  12.71%  |   44.218  |
kroB200   | 29437  |  34790  |  15.56%  |   143.021 |
kroC100   | 20749  |  23492  |  12.46%  |   8.451   |
kroD100   | 21294  |  22647  |  9.37%   |   8.094   |
kroE100   | 22068  |  24422  |  14.62%  |   7.906   |
lin105    | 14379  |  16330  |  8.85%   |   9.882   |
pr76      | 108159 |  117228 |  8.77%   |   2.819   |
pr107     | 44303  |  54942  |  11.63%  |   10.524  |
pr124     | 59030  |  69233  |  11.58%  |   19.627  |
pr136     | 96772  |  110697 |  12.93%  |   30.163  |
pr144     | 58537  |  69432  |  10.08%  |   36.715  |
pr152     | 73682  |  90703  |  19.39%  |   47.735  |
rat99     | 1211   |  1374   |  13.87%  |   7.393   |
rat195    | 2323   |  2707   |  16.32%  |   117.626 |
st70      | 675    |  716    |  12.59%  |   1.961   |
                             |__________|
                             |m = 10.88%|
