arquivo   | ótimo  | obtido  |   gap    | tempo(s) |
__________|________|_________|__________|__________|
att48     | 10628  |  11009  |  5.49%   |   0.085  |
berlin52  | 7542   |  8426   |  15.88%  |   0.096  |
kroA100   | 21282  |  24071  |  14.47%  |   0.701  |
kroA150   | 26524  |  29262  |  11.52%  |   2.461  |
kroA200   | 29368  |  34060  |  17.9%   |   5.682  |
kroB100   | 22141  |  24505  |  12.0%   |   0.811  |
kroB150   | 26130  |  29164  |  12.71%  |   2.527  |
kroB200   | 29437  |  33639  |  15.56%  |   5.666  |
kroC100   | 20749  |  22940  |  12.46%  |   0.686  |
kroD100   | 21294  |  22934  |  9.37%   |   0.804  |
kroE100   | 22068  |  24658  |  14.62%  |   0.667  |
lin105    | 14379  |  15337  |  8.85%   |   0.786  |
pr76      | 108159 |  116010 |  8.77%   |   0.298  |
pr107     | 44303  |  49142  |  11.63%  |   0.827  |
pr124     | 59030  |  65501  |  11.58%  |   1.354  |
pr136     | 96772  |  108166 |  12.93%  |   1.826  |
pr144     | 58537  |  63662  |  10.08%  |   2.107  |
pr152     | 73682  |  84623  |  19.39%  |   2.457  |
rat99     | 1211   |  1357   |  13.87%  |   0.659  |
rat195    | 2323   |  2662   |  16.32%  |   5.223  |
st70      | 675    |  738    |  12.59%  |   0.225  |
                             |__________|
                             |m = 10.88%|
